Posted At,Job Title,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 2 days ago,"Link Builder+Outreach Specialist Guest posting
- job post",https://pk.indeed.com/cmp/Genics-Pk?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0iohanj9ji801&fromjk=bb596235b96bee12,Lahore,Full-time,"Rs 30,000 - Rs 60,000 a month",No experience required,No specific education required,"We are looking for an expert in SEO who can build links for websites. Help us get better rankings on search engines and bring more people to sites. The ideal candidate will have a good understanding of SEO best practices, experience developing and executing successful link building strategies across a variety of industries and niches.
Requirements:
Expert in Outreach and Guest posting
The candidate must be result oriented, focused & have knowledge of current SEO trends.
Proven 2 to 3 year experience of working in an SEO/Link builder position.
Strong knowledge of On-Page and Off-Page SEO Practices.
Experience with keyword research, link analysis, and backlink auditing tools.
Job Type: Full-time
Pay: Rs30,000.00 - Rs60,000.00 per month"
Active 2 days ago,"SEO Link Builder
- job post",https://pk.indeed.com/cmp/Edward-Milton-&-Co?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0iokjcjkmk800&fromjk=9caf70e086445308,Lahore,Full-time,,Entry level,Bachelor’s Degree,"Located in London & Lahore we work to find creative ways to deliver simple solutions to complex problems.
Responsibilities
Contribute to developing the link building to improve our SEO and search engine ranking
Identify and acquire backlink opportunities to increase website traffic
Collaborate with other SEO and marketing team members to ensure the consistency of our online marketing efforts
Interact with outside vendors to build backlinks to our website and implement our link building strategy
Conduct online research, interpret, and use the obtained data and results
Find new link opportunities by using the latest search techniques and conducting a competitor backlink analysis
Contact bloggers to interest them in our brand and provide reliable backlinks
Build and maintain healthy links by keeping track of a backlink profile
Requirements
Bachelor’s degree in Marketing, Communications, Advertising, Business is preferred
1+ years of experience in SEO, Digital Marketing field
Proven experience of implementing backlink campaigns
Working knowledge of Google Analytics and backlink tools, such as SEMrush, Ahrefs, Monitor Backlinks, and Buzz Stream
Strong analytical, communication, and problem-solving skills
Exciting Benefits we offer:
Market-leading Salary
Medical Coverage IPD&OPD– Spouse & Kids
Leave Encashment
Provident Fund
Performance based bonus
Annual Increments
Daily in-house meal
Paid Time Off
Work Life Balance
Recreational area for in-house games
Sporadic On-shore training opportunities
Monthly entertainment activities
Domestic tours
Outdoor and indoor dinners
Friendly work environment
Job Type: Full-time
Pay: From Rs1.00 per month
Ability to commute/relocate:
Lahore: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Required)
Experience:
Backlinking: 1 year (Preferred)
Guest-Posting: 1 year (Preferred)"
Active 2 days ago,"SEO Link Builder/ SEO Analyst(Male)
- job post",https://pk.indeed.com/cmp/Intellectual-Works-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0ion9gjl0m844&fromjk=10f7e778f865a796,Lahore,,,No experience required,No specific education required,"We are looking for experience SEO link builder/ SEO Analyst (MALE) for our digital marketing team.
Note:
The company requires the candidate to submit 1 original degree for job security reasons. If you do not want to submit original degree, kindly do not apply for this job
Responsibilities:
Researching the competitors, both on page and off page.
Performing keyword searches for content.
High quality link building.
Writing engaging SEO content.
Developing and Implementing new link-building techniques.
Familiar with SEO tools: Href and Semrush.
Stay updated on SEO techniques, algorithms, and industry trends.
Requirement:
Must have 1-2 years Job experience as SEO Link builder .
Excellent understanding and experience with SEO tools.
Basic knowledge of HTML and CSS.
Sound understanding of conversation and performance marketing.
Good verbal and written communication skills.
Demonstrate excellent keyword research techniques.
Excellent time management skills.
Sound decision-making and reasoning skills.
Excellent organizational and interpersonal skills.
Job Type: Full-time
Pay: Rs30,000.00 - Rs45,000.00 per month
Application Question(s):
Do you have residence in Lahore?
Do you have at least 1 to2 years job experience as SEO Link Builder?"
Active 2 days ago,"SEO Link Builder
- job post",https://pk.indeed.com/cmp/An--naafia-M&T-(pvt)-Ltd-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0ip1ccjk9m80k&fromjk=b7de3ecefc774640,Lahore,,,No experience required,No specific education required,"Requirements:
1-2 years of minimum experience
Graduation or intermediates are also welcome to apply
No gender specification is required
Responsibilities:
-Researching potential websites and people for outreach
-Conducting a content audit to identify linkable potentials
-Performing keyword research and identifying the best keywords for SEO-optimized content projects
-Monitoring and promoting blog posts and other content to be used for backlink purposes
-Working with copywriters and web developers in continuous monitoring and improvement of content and website architecture for better SERP ranking
-Consistent monitoring and assurance of the client's website's healthy backlink profile
-Using online tools to submit business listings
-Performing competition research to analyze and monitor their backlink and advertising link strategies
-Tracking of outreach efforts via social media, forums, email, and other communication channels used
Job Type: Full-time
Pay: Rs35,000.00 - Rs40,000.00 per month
Application Deadline: 26/04/2024"
Active 2 days ago,"SEO Link Builder - WORK FROM HOME
- job post",https://pk.indeed.com/cmp/Logi-Train?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0ip9i02eii002&fromjk=e688b351f2f0c5d0,Lahore,,,No experience required,No specific education required,"We are a leading training company requiring an in-house SEO Link Builder, Outreach Specialist and for Guest posting to boost our marketing and gain a competitive edge.
Role Description
This is a full-time work from home role. You will be responsible for the day-to-day tasks associated with building high-quality, relevant links to improve search engine rankings and drive organic traffic to our websites.
Qualifications
Proven experience in SEO link building, including knowledge of link building strategies and techniques
Proficiency in using SEO tools, such as MOZ, SEMrush, AHREFS, etc.
Strong understanding of search engine algorithms and ranking factors
Excellent analytical and problem-solving skills
Good communication skills and ability to work in a team
Attention to detail and ability to meet deadlines
Knowledge of HTML, CSS, and basic web development principles
Experience with content marketing and social media management is an advantage
Bachelor's degree in Marketing, Computer Science, or a related field
Job Type: Full time/Work from home
Shift Timing: Morning
Job Type: Full-time
Pay: From Rs25,000.00 per month
Application Question(s):
Do you have a totally separate quiet working space at home?
Do you own a reliable PC with an i3 or higher processor?
What is your internet speed at home?
Do you have a UPS at home?
What is/was your current/previous monthly salary in PKR?
What is your expected monthly salary in PKR? (We will not proceed with your application if your expectation is beyond what is on offer.)
Why should we hire you?
Which area and city do you live in?
What is your mobile number enter it with country code starting with + (without spaces and dashes)
What is your daily capacity for creating backlinks, and which types of backlinks (e.g., guest posts, directory submissions, outreach campaigns) can you create consistently at scale?
Can you share a specific example of a successful link building campaign you led, including the strategies used and the measurable results achieved?
How many years of experience do you have and which year did you complete your Bachelor degree?
How do you approach link building for websites in highly competitive niches?
In your opinion, what are the most effective link building tactics for improving a website's search engine rankings, and how do you stay updated with industry best practices?
Education:
Bachelor's (Required)"
Active 24 days ago,"Experienced Link Builders
- job post",https://pk.indeed.com/cmp/Seomasterz?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0ipilgjkme800&fromjk=78bbf7f7d46820bf,Lahore,,,No experience required,Bachelor’s Degree,"Key Responsibilities:
Implement various link building strategies including HARO (Help a Reporter Out), Digital PR, Niche Edits, and Guest Posts.
Identify and engage with potential link building opportunities and platforms.
Maintain and expand our network of contacts in various industries for guest posting and digital PR opportunities.
Collaborate with content creators to craft compelling content that is link-worthy.
Analyze and report on the effectiveness of link building campaigns.
Stay up-to-date with the latest trends in SEO and link building.
Required Skills and Experience:
At least 2 years of experience in SEO with a focus on link building.
Proven track record of successful link building campaigns using methods such as HARO, Digital PR, Niche Edits, and Guest Posts.
Excellent communication and networking skills, with the ability to establish strong relationships with industry contacts.
Strong analytical skills, with the ability to use tools like Google Analytics, Ahrefs, SEMrush, etc.
Familiarity with SEO best practices and a deep understanding of how link building impacts search engine rankings.
Ability to work independently and as part of a team in a remote or office setting.
Bachelor’s degree in Marketing, Communications, or related field is preferred.
What We Offer:
A competitive salary of 60,000 Rs/month.
Opportunities for professional growth and development.
A collaborative and innovative work environment.
Flexibility to work remotely or in our well-equipped office.
Job Type: Full-time
Pay: From Rs60,000.00 per month
Ability to Commute:
Lahore (Required)
Ability to Relocate:
Lahore: Relocate before starting work (Required)"
Active 2 days ago,"SEO Link Builder/ Onsite
- job post",https://pk.indeed.com/cmp/Tech-Bpo?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0ipqqi2eka002&fromjk=02d0cd1dbf25e6ac,Lahore,,,No experience required,No specific education required,"Company Description
Tech BPO (Private) Limited is a leading digital marketing agency that provides comprehensive internet marketing services for businesses. We help companies in all industries boost their marketing efforts and gain a competitive edge.
As an expert team of digital marketers, we have specialists in all aspects of digital marketing, including graphics, technical aspects, and tactics. With over 240 employees across multiple countries, we work closely to ensure smooth campaign execution for our clients.
Role Description
This is a full-time on-site role located in Lahore for an SEO Link Builder at Tech BPO (Private) Limited. As an SEO Link Builder, you will be responsible for the day-to-day tasks associated with building high-quality, relevant links to improve search engine rankings and drive organic traffic to our clients' websites.
Qualifications
Proven experience in SEO link building, including knowledge of link building strategies and techniques
Proficiency in using SEO tools, such as Moz, SEMrush, Ahrefs, etc.
Strong understanding of search engine algorithms and ranking factors
Excellent analytical and problem-solving skills
Good communication skills and ability to work in a team
Attention to detail and ability to meet deadlines
Knowledge of HTML, CSS, and basic web development principles
Experience with content marketing and social media management is a plus
Bachelor's degree in Marketing, Computer Science, or a related field
Salary Range: 25k to 40k
Job Type: Full time/ Onsite
Shift Timing: Morning
Location: Township College Road, Lahore.
Job Type: Full-time
Pay: Rs25,000.00 - Rs40,000.00 per month"
Active 2 ,"Link Builder/SEO (Female)
- job post",https://pk.indeed.com/cmp/Brickstech-Digital?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0iq4tkjrhk801&fromjk=75d612619fd2cb89,Lahore,,,No experience required,Bachelor’s Degree,"and Link Builder/SEO Job Vacancy (Office Based)
BricksTech Digital is a fast-paced multi-national company with e-commerce and online sales and marketing activities. We are currently hiring staff for our Lahore office, 3 Km off Main GT Road Manawan. If you want to join our team in inspiring the world through providing your online marketing and search engine optimization skills, apply today!
Responsibilities:
· Link Building
· Forums Posting
· Business Listing
· Reputation management
Requirements:
Bachelor’s degree in computing, communications, marketing, or a related field.
1 or more years of social media experience including planning and managing content in a corporate, or agency setting.
Excellent written and verbal English language skills and must have a thorough understanding of social media management and strategy.
Multi-tasking and time-management skills, with the ability to prioritize tasks.
Looking for self-motivated individuals with a passion to learn and growing, Submit your CV and Cover letter to the email below with your Job Title and reference in the subject.
Office Timings: 10:30am to 7:00 pm (Female Staff). only Female candidates can apply.
Saturday, and Sunday off
Pick and drop option available (Female staff).
A Higher than Market package will be offered.
Email: hr@gtnwire.com
Cell: 0345-0070909
Job Type: Full-time
Pay: Rs35,000.00 - Rs55,000.00 per month"
Active 4 days ago,"Link Builder / Off Page SEO
- job post",https://pk.indeed.com/cmp/Rt-Web-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0iqd2ljka0800&fromjk=f9f588278fd17a2a,Lahore,,,Entry level,No specific education required,"RT Web Solutions is looking for expert link builders who are ready to join our growing team and assist our SEO Manager and SEO Specialist in creating and implementing various SEO strategies like link building and On-Page to draw more organic traffic to our website.
Requirements:
understanding off-page SEO principles and concepts.
Minimum 1 year experience in Off-page SEO.
Ability to create high-quality backlinks.
Ability to find links from competitors and outreach.
Analytical mindset with a keen attention to detail.
Self-motivated and eager to learn
Ability to work well in a team and take direction from senior team members.
The ability to handle multiple projects concurrently.
Excellent written and verbal communication skills.
What You'll Gain:
Valuable hands-on experience in SEO.
Exposure to industry-standard tools and practices.
Mentorship from experienced SEO professionals.
A chance to contribute to real client projects.
Insights into the broader field of digital marketing.
Qualifications:
Bachelor's degree in marketing, advertising, business, or a related field.
Excellent communication and teamwork skills.
Basic understanding of digital marketing concepts.
Note: Office Base Job
Timing: 12:00 PM to 9:00 PM
Location: Rafi Group Landmark Plaza Jail Road Lahore
Job Type: Full-time
Pay: Rs20,000.00 - Rs25,000.00 per month
Education:
Bachelor's (Required)"
Active 3 days ago,"SEO Link Builder Intern
- job post",https://pk.indeed.com/cmp/Vormand-(pvt)-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0iqm5djkmk800&fromjk=020bd25df49d7b93,Lahore,,,No experience required,No specific education required,"Job Title: SEO Link Builder Intern
Location: Building 9-C, Flat 3-A, Canal Park Gulberg, Lahore
About Us:
Vormand is seeking a highly motivated and detail-oriented individual to join our team as an SEO Link Builder Intern. This is an excellent opportunity for someone looking to gain hands-on experience in digital marketing and SEO while contributing to real-world projects.
Responsibilities:
Conduct keyword research to identify relevant topics and target keywords for link building campaigns.
Perform outreach to website owners, bloggers, and influencers to secure backlinks through guest posting, partnerships, and other link building strategies.
Collaborate with content creators to develop high-quality content that attracts backlinks from authoritative websites.
Monitor and analyze backlink profiles to identify opportunities for improvement and mitigate risks associated with low-quality links.
Assist in maintaining accurate records and documentation of link building efforts and outcomes.
Stay up-to-date with industry trends and best practices in SEO and link building.
Requirements:
Currently pursuing or recently completed a degree in Marketing, Communications, Business, or a related field.
Basic understanding of SEO principles and link building techniques is preferred.
Excellent written and verbal communication skills.
Strong organizational skills and attention to detail.
Ability to work independently and collaborate effectively in a team environment.
Proficiency in Microsoft Office Suite and Google Workspace.
Familiarity with SEO tools such as Ahrefs, Moz, SEMrush, or similar platforms is a plus.
Benefits:
Hands-on experience in digital marketing and SEO in a real-world setting.
Opportunity to work closely with experienced professionals in the industry.
Potential for career growth and advancement within the company.
Flexible schedule
How to Apply:
Please submit your resume and a brief cover letter outlining your interest in the SEO Link Builder Intern position to [hr.vormand11@gmail.com]. Be sure to include any relevant coursework, projects, or experiences that demonstrate your qualifications for the role. We look forward to hearing from you!
Job Types: Full-time, Internship, Fresher
Pay: Rs10,000.00 - Rs15,000.00 per month
Ability to commute/relocate:
Lahore: Reliably commute or planning to relocate before starting work (Preferred)"
