Posted At,Job Title,Company Name,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Just posted,Electrical Engineer-Utility Scale Solar PV Layouts,Conductor Power,https://www.indeed.com/cmp/Conductor-Power-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok4elllems804&fromjk=ef44da59beea8b0c,"Baxter, MN",Full-time,"$81,000-$120,000 a year",No experience required,Bachelor’s Degree
Posted 1 day ago,Licensed Professional Engineer - Civil / Structural,Criterium-Kessler Engineers,https://www.indeed.com/cmp/Criterium--kessler?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok4jpahbgt800&fromjk=491dfef55ab65783,"Las Vegas, NV 89146•Hybrid work","Full-time
Contract","$75,936.80-$91,450.77 a year",Entry level,Bachelor’s Degree
Just posted,Senior Construction Project Engineer,Construction Management Company,https://www.indeed.com/cmp/Real-Estate-Development-&-Construction-Management-Company?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok4pun2j2l000&fromjk=b48633dab8209657,"Wilmington, DE",Full-time,"From $100,000 a year",Mid level,Bachelor’s Degree
Posted 1 day ago·,RAN Engineer,ATEC Wireless,https://www.indeed.com/cmp/Atlanta-Trading-&-Engineering-Consulting-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok4v28h0ma806&fromjk=b4fdbc693de16151,"Littleton, CO 80120","Full-time
Contract",$65-$70 an hour,Mid level,No specific education required
Posted 1 day ago,Senior Project Engineer,"Blue Dolphin Design and Engineering, Inc.","https://www.indeed.com/cmp/Blue-Dolphin-Design-and-Engineering,-Inc.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok545dj5n980a&fromjk=3369610e09bda0b2","1755 Broadway St Apt 104, Fresno, CA 93721",Full-time,"From $75,000 a year",Mid level,No specific education required
Posted 1 day ago·,Mechanical Engineer / Designer,Stupid Simple Tools,https://www.indeed.com/cmp/Stupid-Simple-Tools?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok599hlemn800&fromjk=1528cf64c866a100,Remote,"Part-time
Full-time",$40-$60 an hour,Mid level,No specific education required
Today·,Spacecraft Systems Engineer II,Blue Canyon Technologies,https://www.indeed.com/cmp/Blue-Canyon-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok5dc0j5kn80g&fromjk=c7caf7fff09ebf0a,"Lafayette, CO 80026",Full-time,"$80,000-$140,000 a year",No experience required,Bachelor’s Degree
Posted 1 day ago·,JR CSV Engineer,CENTSTONE SERVICES LLC,https://www.indeed.com/cmp/Centstone-Services-LLC?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok5ieclemr801&fromjk=0013b967e906d61a,"8203 Indy Ct, Indianapolis, IN 46214",Contract,$45 an hour,No experience required,No specific education required
Posted 1 day ago,Lead Process Engineer,Manpower Engineering,https://www.indeed.com/cmp/Manpower?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok5mhhj5ld800&fromjk=180757801e9afb41,"Pennsville, NJ 08070",Full-time,,No experience required,No specific education required
Just posted·,Radiological Engineer,Idaho National Laboratory,https://www.indeed.com/cmp/Idaho-National-Laboratory?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok5qmi2j2i000&fromjk=4228d4cf20e4ebae,"Idaho Falls, ID",Full-time,,Senior Level,Master’s Degree
Just posted·,ASSET ENGINEER,The State of New Hampshire,https://www.indeed.com/cmp/State-of-New-Hampshire?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok5vsjlems800&fromjk=d4c507f50313e8bf,"7 Hazen Drive, Concord, NH",Full-time,$30.72-$41.76 an hour,No experience required,Master’s Degree
,Advanced Systems Engineer,Honeywell,https://www.indeed.com/cmp/Honeywell?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok65uhj5kn801&fromjk=a0157a2432ef75be,"1300 West Warner Road, Tempe, AZ 85284",,,Senior Level,No specific education required
Just posted·,Mechanical Engineer,Woodbridge,https://www.indeed.com/cmp/Woodbridge-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok6h32h5j2800&fromjk=aba9988bfd08c8f5,"Greensboro, NC 27406",,,Senior Level,No specific education required
Today·,Mechanical Engineer,Valknut Automation Ltd,https://www.indeed.com/cmp/Valknut-Automation-Ltd-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok6o6qj5kn802&fromjk=92cf864d6a5a2945,South Carolina,Contract,$35-$40 an hour,Entry level,No specific education required
Today,Mechanical Engineer,Gem Care Inc.,"https://www.indeed.com/cmp/Gem-Care,-Inc-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok70el2cmq000&fromjk=29cb4984c422711f","Greeneville, TN",Contract,"$80,000-$100,000 a year",No experience required,No specific education required
Just posted,Mechanical Engineer,"ALATAS Americas, Inc.","https://www.indeed.com/cmp/Alatas-Americas,-Inc.?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok74ig2fcp000&fromjk=aae8e27b93ac9fc4","ALATAS Americas, Inc. in Manvel, TX 77578","Permanent
Full-time",$30 an hour,Senior Level,Bachelor’s Degree
Today,Mechanical Design Engineer II,"Drillers' Choice, Inc.","https://www.indeed.com/cmp/Drillers'-Choice,-Inc.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok78m02fcp000&fromjk=b49c7283660a89b7","16 Copicut Road, Assonet, MA 02702",Full-time,"$85,000-$150,000 a year",Entry level,No specific education required
,Electrical Design Engineer- Utilities,Vector Talent Solutions,https://www.indeed.com/cmp/Vector-Talent-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok7e1qj5ld800&fromjk=24c53f81a0597c4a,"Vector Talent Solutions in Walnut Creek, CA 95498",Full-time,$45 an hour,Mid level,No specific education required
Just posted,Electrical Engineer,Kinclaven,https://www.indeed.com/cmp/Msi-Recruiting-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok7j3p28lt000&fromjk=aab1ff364fd2b2cd,"Fort Lauderdale, FL",Full-time,"$95,000-$125,000 a year",Mid level,No specific education required
Posted 1 day ago,Project Engineer,Confidential Posting,https://www.indeed.com/cmp/Confidential-Posting-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok7oenlemt80j&fromjk=fe1a9e1a715d2947,"Hauppauge, NY",Full-time,"$100,000-$220,000 a year",Senior Level,No specific education required
Posted 1 day ago,Calibration Engineer,"Engineering Technology Associates, Inc.",https://www.indeed.com/cmp/Engineering-Technology-Associates-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok7toslems800&fromjk=08f8e826cef07334,"Dearborn, MI 48124•Hybrid work",Contract,"$83,200-$113,000 a year",Entry level,No specific education required
Posted 1 day ago,Quality Engineer,Mission Solar Energy LLC,https://www.indeed.com/cmp/Mission-Solar-2?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok81qhllki801&fromjk=3935f7bd92fc6350,"San Antonio, TX 78235",Full-time,"From $68,000 a year",Entry level,Bachelor’s Degree
Posted 1 day ago,Plant Mechanical Engineer,Manpower Engineering,https://www.indeed.com/cmp/Manpower?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok86seiona800&fromjk=950669c39d77421d,"Lewisport, KY 42351",Full-time,,No experience required,No specific education required
Posted 1 day ago,Project Engineer - Spring 2024 graduate,Weis Builders Inc.,"https://www.indeed.com/cmp/Weis-Builders,-Inc.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok8butkom083v&fromjk=a24832d5db6e5ad9","Phoenix, AZ",,,No experience required,No specific education required
Today,Structural Project Engineer,Harwood Engineering Consultants,https://www.indeed.com/cmp/Harwood-Engineering-Consultants?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok8o0a28lt005&fromjk=9b9ce05af9713ee3,"255 North 21st Street, Milwaukee, WI 53233",,,No experience required,Bachelor’s Degree
Just posted·,Senior Engineer of Radiological Work,Naval Nuclear Laboratory,https://www.indeed.com/cmp/Naval-Nuclear-Laboratory?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok934d2fcu000&fromjk=26140f705b56fdbe,"Idaho Falls, ID",,"$92,900",Entry level,No specific education required
Today·,Project Engineer,"Adient Aerospace, LLC","https://www.indeed.com/cmp/Adient-Aerospace,-LLC?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok9c8glll1800&fromjk=de5691ee4392aaa2","Huntington Beach, CA 92647",Full-time,"$110,000-$130,000 a year",Entry level,Bachelor’s Degree
Just posted·,Senior Structural Engineer,Cadila Global solution,https://www.indeed.com/cmp/Cadila-Global-Solution?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok9ike2cmq001&fromjk=d3eba502e2b19feb,"Palmer, AK",Full-time,"$140,554-$145,317 a year",No experience required,No specific education required
Today·,Mechanical Engineer,Quad County HR,https://www.indeed.com/cmp/Quad-County-HR?campaignid=mobvjcmp&from=mobviewjob&tk=1hsok9pv5h5j2800&fromjk=8a80f36487b2bea4,"Pico Rivera, CA 90660",Full-time,$43-$50 an hour,No experience required,Master’s Degree
Today,Mechanical Design Engineer - ENTRY LEVEL,"Shawndra Products, Inc.","https://www.indeed.com/cmp/Shawndra-Products,-Inc.-2?campaignid=mobvjcmp&from=mobviewjob&tk=1hsoka15rj21q801&fromjk=656023c2d3351df2","1514 Rochester St, Lima, NY 14485",Full-time,"$60,000-$80,000 a year",No experience required,No specific education required
Today,Design Engineer,"OEM/Miller, Division of ILPEA Industries","https://www.indeed.com/cmp/Oem-Miller,-Division-of-Ilpea-Industries?campaignid=mobvjcmp&from=mobviewjob&tk=1hsoka78i2ipq05i&fromjk=86409d3dc176b56c","1300 Danner Drive, Aurora, OH 44202",Full-time,"$60,000-$70,000 a year",No experience required,No specific education required
Posted 1 day ago,"Civil Engineer, PE",DAVRON LLC,https://www.indeed.com/cmp/Davron-LLC-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokadds2j2l000&fromjk=ce1bdece9215d08f,"Kansas City, MO",Full-time,"$160,000-$220,000 a year",Senior Level,No specific education required
Just posted·,"Junior, Mechanical Design Engineer",e-Business International Incorporated,https://www.indeed.com/cmp/E--business-International-Incorporated?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokahgqhbgt800&fromjk=710ba3f38c03b467,"e-Business International Incorporated in Newport News, VA 23607",Full-time,"$47,854.25-$84,286.84 a year",Entry level,No specific education required
Posted 1 day ago,Lead Systems Engineer - TS/SCI,Goodwin Recruiting,https://www.indeed.com/cmp/Goodwin-Recruiting?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokani9h5j2809&fromjk=fc76d1875fbfa50f,"Aberdeen, MD",,"$260,000",No experience required,No specific education required
Just posted·,"Mechanical Engineer, R&D - NPD",Stryker Corporation,https://www.indeed.com/cmp/Stryker-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokb0krisam806&fromjk=9818e4f0e49402ad,"Portage, MI 49002",,,No experience required,Bachelor’s Degree
Today,Senior Electrical Controls Engineer,"Thrustmaster of Texas, Inc.","https://www.indeed.com/cmp/Thrustmaster-of-Texas,-Inc.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokbaql2ipk000&fromjk=b7487ada76552cb5","6900 Thrustmaster Dr, Houston, TX 77041",Full-time,,No experience required,No specific education required
Today·,Package Design Engineer,Micron,"https://www.indeed.com/cmp/Micron-Technology,-Inc.?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokbg1sk54i800&fromjk=bdf6bf7faf29ddca","Boise, ID",,,No experience required,No specific education required
Just posted·,Capital Project Engineer,International Paper,https://www.indeed.com/cmp/International-Paper?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokbr5j2fco008&fromjk=0f801c4ba1bba30c,"4537 Highway 480, Campti, LA 71411",Full-time,,No experience required,No specific education required
Today·,Design Engineer,Vagus Technologies,https://www.indeed.com/cmp/Vagus-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokc0dfkokj801&fromjk=d92d8feda70aa689,"Newport News, VA",Full-time,"$75,612.84-$91,060.62 a year",Entry level,No specific education required
Just posted·,Mechanical Engineer II,Johnson Controls,https://www.indeed.com/cmp/Johnson-Controls?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokc5g42fcp00f&fromjk=80cf25507973c293,"New Freedom, PA",Full-time,,No experience required,Bachelor’s Degree
Posted 1 day ago,Electrical Project Engineer – Power industry exp. PLUS (33535),Activ8 Recruitment & Solutions,https://www.indeed.com/cmp/Activ8-Chicago-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokcahs2fcp000&fromjk=ac71ef5839607ba2,"Austin, TX",Full-time,"$60,000-$70,000 a year",Senior Level,Bachelor’s Degree
Today·,Project Engineer,Aegis Aerospace,https://www.indeed.com/cmp/Aegis-Aerospace?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokcep72fcu000&fromjk=548efecab6d21146,"Houston, TX 77058",Full-time,,Senior Level,No specific education required
Posted 1 day ago·,Data Center Design Engineer,Pauls Corporate,"https://www.indeed.com/cmp/Paulscorp,-LLC?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokckqplems800&fromjk=bf7647f71251743c","100 Saint Paul Street, Denver, CO 80206",Full-time,"$120,000-$135,000 a year",No experience required,No specific education required
Posted 1 day ago·,Mechanical Engineer,Dormakaba Group,https://www.indeed.com/cmp/Dormakaba-6ef1e50c?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokcpubiona800&fromjk=60a08669442ae1aa,"1525 Bull Lea Road, Lexington, KY 40511",Full-time,"$65,000-$100,000 a year",Entry level,No specific education required
Posted 1 day ago,Aerospace Project Engineer - Hybrid,Goodwin Recruiting,https://www.indeed.com/cmp/Goodwin-Recruiting?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokcu7qhbjk801&fromjk=52e75d72cb736a3b,"Dayton, OH•Hybrid work",,"$145,000",Senior Level,Bachelor’s Degree
Today,Project Engineer,Marathon Petroleum,https://www.indeed.com/cmp/Marathon-Petroleum?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokd84gh5hv803&fromjk=d04aaa24c5f828ec,"539 South Main Street, Findlay, OH 45840",Full-time,,No experience required,No specific education required
Posted 1 day ago,Electrical Engineer,Manpower Engineering,https://www.indeed.com/cmp/Manpower?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokdeeljr5d802&fromjk=0a96a779c1f88e90,"Mentor, OH 44060",Full-time,"$65,000-$75,000 a year",No experience required,Bachelor’s Degree
Posted 1 day ago,Civil Engineer – Land Development,Express Employment Professionals,https://www.indeed.com/cmp/Express-Employment-Professionals?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokdihs2fcp002&fromjk=a0faf6f45e568ed8,"Express Employment Professionals in West Lake Hills, TX 78746",Full-time,"$65,000-$120,000 a year",Entry level,No specific education required
Just posted,Senior Electrical Engineer,Leidos,https://www.indeed.com/cmp/Leidos?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokdom1h0ma801&fromjk=fcd28072c5b1d02c,"Huntsville, AL 35806",Full-time,"$101,400-$183,300 a year",No experience required,No specific education required
Just posted·,Systems Integration Engineer I,BAE Systems,https://www.indeed.com/cmp/BAE-Systems?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokdtqtkoll800&fromjk=1deaa533e9bd8c31,"Wallops Island, VA 23337",Full-time,"$56,200-$95,500 a year",No experience required,No specific education required
,Junior Electrical Engineer,GreenXT,https://www.indeed.com/cmp/Greenxt?campaignid=mobvjcmp&from=mobviewjob&tk=1hsoke1vs2j2m000&fromjk=f27165bc9f9855c5,"Norfolk, VA 23511",,,Mid level,No specific education required
Just posted·,Electrical Engineer (Power),Naval Nuclear Laboratory,https://www.indeed.com/cmp/Naval-Nuclear-Laboratory?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokecvrkoll806&fromjk=17be47da55709af0,"Idaho Falls, ID",,"$62,000",No experience required,No specific education required
Just posted·,"Associate Engineer, Electrical",Panasonic Automotive Systems of North America,https://www.indeed.com/cmp/Panasonic-Automotive?campaignid=mobvjcmp&from=mobviewjob&tk=1hsokek2gj5n9800&fromjk=94a14804e0b276a1,"Peachtree City, GA 30269",Full-time,,No experience required,No specific education required
