Posted At,Job Title,Company Name,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 2 days ago,Sales Representative,Urban Solar Pvt Ltd.,https://pk.indeed.com/cmp/Urban-Solar-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse69sa3j6d6802&fromjk=4dc2a9c749bb468f,Lahore,Full-time,"Rs 60,000",No experience required,No specific education required
Active 2 days ago,Project Coordinator,Urban Solar Pvt Ltd.,https://pk.indeed.com/cmp/Urban-Solar-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6a0b4jrj380e&fromjk=f0f930ff17209b09,Lahore,Full-time,"Rs 70,000",No experience required,No specific education required
Active 2 days ago,Energy Consultant,Urban Solar Pvt Ltd.,https://pk.indeed.com/cmp/Urban-Solar-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6a5e5jtt080f&fromjk=e4540ba9fd45ccd6,Lahore,Full-time,"Rs 50,000",No experience required,No specific education required
Active 2 days ago,Solar Consultant,Urban Solar Pvt Ltd.,https://pk.indeed.com/cmp/Urban-Solar-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6aab7jrji800&fromjk=0c3c08c16eebd3f1,Lahore,Full-time,"Rs 50,000",No experience required,No specific education required
Active 2 days ago,Project Support Specialist,Urban Solar Pvt Ltd.,https://pk.indeed.com/cmp/Urban-Solar-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6af7gjrho800&fromjk=328759882b5ae0f3,Lahore,Full-time,,No experience required,No specific education required
Active 6 days ago·,Trainee Engineer (Mechanical Design),Chaplet International Private Limited,https://pk.indeed.com/cmp/Chaplet-International-Private-Limited-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6ao46jrig8bk&fromjk=c6c2291163c4fa78,Lahore,Full-time,"Rs 50,000 a month",No experience required,Bachelor’s Degree
Active 23 days ago·,Technical Support,Pakistan Telecommunication Company (PTCL),https://pk.indeed.com/cmp/Ask-Development-865813f6?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6au3rj6dv8bl&fromjk=052e044cc5d8d845,Lahore,Full-time,"Rs 40,000",Mid level,No specific education required
Active 2 days ago,Internal Auditor,Brickstech Digital,https://pk.indeed.com/cmp/Brickstech-Digital?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6b32mjrj3800&fromjk=6b45f4b5cc3d2007,Lahore,Full-time,"Rs 45,000",Mid level,Master’s Degree
Active 3 days ago·,Site Supervisor (Civil),IKAN Engineering Services Private Limited,https://pk.indeed.com/cmp/Ikan-Engineering-Services-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6b80lj6e480i&fromjk=87220baf895b41ba,Lahore,Full-time,"Rs 50,000",Senior Level,No specific education required
Active 6 days ago·,Trainee Engineer (Procurement),Chaplet International Private Limited,https://pk.indeed.com/cmp/Chaplet-International-Private-Limited-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6bdthj6d6800&fromjk=c00e6940a78f79f8,Lahore,Full-time,"Rs 50,000 a month",No experience required,Bachelor’s Degree
Active 2 days ago·,DAE Mechanical,Techmen Engineering,https://pk.indeed.com/cmp/Techmen-Engineering?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6bipljkbq800&fromjk=43da959b9355ca4e,Lahore,Full-time,"Rs 30,000",Entry level,No specific education required
Active 2 days ago·,Mechanical Design Engineer,Fazmec snc,https://pk.indeed.com/cmp/Fazmec-Snc?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6bprejrhg802&fromjk=0590814c394fbad0,Lahore,"Full-time
Internship",,No experience required,No specific education required
Posted 8 days ago·,Site Engineer,Companion construction company,https://pk.indeed.com/cmp/Companion-Construction-Company?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6c0s1jl3p800&fromjk=5f9e0fcd17340fb2,Islamabad,"Fresher
Full-time","Rs 35,000",Entry level,No specific education required
Active 2 days ago·,Remote MERN Stack Intern,Dev Lodges Technologies.,https://pk.indeed.com/cmp/Dev-Lodges?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6c5pk2fec002&fromjk=e94f3b0e444636e1,Lahore,"Temporary
Part-time
Fresher
+ show more",,No experience required,No specific education required
Active 4 days ago·,Trainee Mechanical Engineer,Mardan Power (Pvt) Ltd,https://pk.indeed.com/cmp/Mardan-Power-(pvt)-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6cdl2iekh801&fromjk=1ff91968cda9a693,Mardan,Full-time,,No experience required,No specific education required
Active 2 days ago·,Civil Engineer,Grand City Developing Pakistan,https://pk.indeed.com/cmp/Grand-City-Developing-Pakistan?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6cmhcjkm9806&fromjk=a6e4d9827d59fe25,Lahore,Full-time,"Rs 100,000 a month",Senior Level,No specific education required
Active 4 days ago·,Project Mechanical Engineer,Water Engineering & Management Services (PVT.) LTD.,https://pk.indeed.com/cmp/Water-Engineering-&-Management-Services-(pvt.)-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6cqfjjrho80c&fromjk=11bbca6c8259ad01,Lahore,Full-time,,Senior Level,No specific education required
Active 2 days ago·,Trainee/Junior Electrical Engineer,Globright Technologies Pvt. Ltd.,https://pk.indeed.com/cmp/Master-Consulting-Engineers-(pvt.)-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6d2bbjrjb80t&fromjk=be964bd60a1f19b1,Lahore,Full-time,,Entry level,No specific education required
Active 2 days ago·,Project Incharge - Civil Engineering,Optimum HR,https://pk.indeed.com/cmp/Ev-Bikes?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6db76jl0v803&fromjk=7698a22120507658,Lahore,Full-time,"Rs 90,000",No experience required,No specific education required
Active 2 days ago·,Technical Support Engineer (Software) - Remotely,Thinglogix,https://pk.indeed.com/cmp/Thinglogix?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6df7ejrjb800&fromjk=3043a94d87907191,Islamabad,Full-time,"Rs 50,000 a month",Entry level,No specific education required
Active 2 days ago,Design Engineer,Urban Solar Pvt Ltd.,https://pk.indeed.com/cmp/Urban-Solar-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6dk7sjrgi801&fromjk=399a5dd2a3815fea,Lahore,Full-time,"Rs 70,000",No experience required,No specific education required
