Posted At,Job Title,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 2 days ago,Data Entry Operator/Computer Operator,https://pk.indeed.com/cmp/Ambition-World?campaignid=mobvjcmp&from=mobviewjob&tk=1hs114o7s2eig004&fromjk=8bf96af7b5e6378f,Lahore,"Rs 30,000 - Rs 35,000 a month","Rs 30,000 - Rs 35,000 a month",No experience required,No specific education required,"We are hiring Data Entry Operator to join our Data Team in Lahore office. We need an experienced Data Entry professionals having good Microsoft Word & Excel skills and also having good CV preparation skills. Ideal candidate should have the experience of call center as well.
Candidates must have sound knowledge of using a computer, Microsoft office and internet tools.
Afternoon Shifts (1 pm – 10 pm) PST
Monday through Friday (Sat and Sun are off).
We Offer:
Market Competitive Salary
Increment
Career Growth
Paid Leaves
Interested candidates should submit their CVs to the following;
Ambition BPO Services Team
Contact - hr@ ambitionbpo.net
Please note that this job role is completely office based. We're not offering a remote-job currently.
Job Type: Full-time
Pay: Rs30,000.00 - Rs35,000.00 per month
Application Deadline: 01/04/2024"
Active 3 days ago,KPO/ Data Entry Operator,https://pk.indeed.com/cmp/Paracha-International-Exchange?campaignid=mobvjcmp&from=mobviewjob&tk=1hs114rv2jkme800&fromjk=488d60c03330394a,Multan,"Rs 30,000 - Rs 35,000 a month","Rs 25,000 - Rs 30,000 a month",No experience required,No specific education required,"Paracha International Exchange Multan Branch is looking for an energetic KPO/ Data Entry Operator who can handle the following task.
1. Posting transactions of customers of buying and selling of Foreign Currency.
2. Posting entries of Remittances.
3. Preparing Expense sheet on daily basis
Job timings are 9 am-7pm
Age- 25-35
Qualification:
Atleast Intermediate.
Job Type: Full-time
Pay: Rs25,000.00 - Rs30,000.00 per month
Ability to commute/relocate:
Multan: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)"
Today,Fresh matric pass female students for office,,Rawalpindi,"Rs 35,000 - Rs 50,000 a month","Rs 35,000 - Rs 50,000 a month",No experience required,No specific education required,"we need Fresh males and Females for indoor office work in different departments Coordinator Data entry Assistant HR Assistant handsome income packages and incentives Responsibilities: Handling incoming calls and other communications. Managing filing system. Recording information as needed. Greeting clients and visitors as needed. Updating paperwork, maintaining documents, and word processing. Helping organize and maintain office common areas. Performing general office clerk duties and errands.
Job Types: Full-time, Fresher
Pay: Rs35,000.00 - Rs50,000.00 per month"
Posted 1 day ago,Data Entry / Computer Operator,https://pk.indeed.com/cmp/Ktk-World-International-Recruitment-Agency?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1157l2j6cj800&fromjk=d8a50c8ecacc512c,Rawalpindi,"Rs 35,000 - Rs 50,000 a month",,No experience required,No specific education required,"Applicant should have stalwart computer skills, should have the capability to work in MS word, photoshop, must have FA/FSC candidate having recruitment experience will preferred
Job Type: Full-time
Pay: From Rs25,000.00 per month
Ability to commute/relocate:
Rawalpindi: Reliably commute or planning to relocate before starting work (Required)"
Today,Logistic Coordinator,https://pk.indeed.com/cmp/CMA-Logistics-&-Goods?campaignid=mobvjcmp&from=mobviewjob&tk=1hs115cvvj9j9800&fromjk=b4f83d4b6759bc9c,Lahore,Full-time,,No experience required,No specific education required,"1. To ensure that all information have been received related to customer requests (like; Delivery Note (DN), Reverse Note (RN), Material Movement Form (MMF), Packing Note (PN) and Public Request (PR)) by email or by hand and same have been communicated to the Assistant Manager (Region) on immediate basis.
2. Ensure that the driver did his vehicle tank full by and then he can rest in the warehouse till the next order of the Admin Officer.
3. Ensure to timely deliver all the equipment.
4. To collect all necessary information from POC to deliver equipment/goods and handover to AM:
· Onsite Receiver Name & Contact No
· Cluster Engr Name & Contact No
· Site Guard Name & Contact No
· Site Map Coordinates (Latitude, Longitude)
· Site Access Clearance Status
5. To ensure that the driver didn’t carry out vehicle without permission.
6. Responsible for activities and route planning given by the software and its implementations
7. To ensure following documents before trip departure:
· Printed Trip/ Gate Pass Form
· Vehicle Log Book after data entry
· Sygic Map application
· Printed DN/ RN/ BOQ/ ATF/ SMR/ MMR, etc.
· Printed Sites Information
· Printed Google Route Map
8. Any other duty as assigned by the higher authorities.
Qualification:
Graduation preferably in Supply Chain
Experience:
3-5 years in logistic coordination preferably in a logistics company.
Job Type: Full-time"
Active 2 days ago,Data Entry Operator,https://pk.indeed.com/cmp/London-Slimming-Clinic?campaignid=mobvjcmp&from=mobviewjob&tk=1hs115l5mjl0j800&fromjk=d0abc93e5d9fa8f0,Karachi,Full-time,,No experience required,No specific education required,"We are recruiting for an experienced candidate who has an adequate level of IT skills and very good level of written and spoken English to join our data entry team in Clifton, Karachi.
The job responsibilities will be:
To input data into excel and into an online database for processing e-com orders
Updating customer database
Carrying out any other reasonably assigned duties
Required skills:
Must have experience with Microsoft Office (Outlook and Excel)
Must be meticulous and pay attention to detail
Highly organised, reliable and able to prioritise and manage multiple tasks efficiently
Ability to work independently
Timings: 10:00am to 7:00 pm - 5 days a week
You will need to be able to travel to the office which is based near Teen Talwar roundabout in Clifton, Karachi.
Training will be provided and the job is available for immediate start.
Job Type: Full-time, permanent
Pay: R s25,000.00 - Rs 35,000.00 per month
Job Type: Full-time
Pay: Rs25,000.00 - Rs35,000.00 per month
Ability to commute/relocate:
karāchi: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Are you able to commute daily to the office which is near teen talwar roundabout in Clifton, Karachi?
What is your current and expected salary for this role?"
Active 3 days ago,Data Entry and Quality Assurance Executive Required,https://pk.indeed.com/cmp/Esar-Digital?campaignid=mobvjcmp&from=mobviewjob&tk=1hs115uopjkar805&fromjk=02391476e454d9f5,Rawalpindi,Full-time,,No experience required,No specific education required,"A data quality analyst is responsible for ensuring an organization’s data is accurate, complete, consistent, reliable, and accessible. They perform data audits, develop data quality standards, identify anomalies, and fix errors, playing a critical role throughout the data lifecycle. Their work is vital for maintaining strategic planning, operational efficiency, customer satisfaction, and regulatory compliance, preventing financial losses, decreased trust, and legal issues arising from poor data quality
Job Types: Full-time, Part-time, Fresher
Pay: Up to Rs45,000.00 per month"
Active 2 days ago,Data Entry,https://pk.indeed.com/cmp/Vizz-Web-Solutions-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116bd22eig000&fromjk=499b102d15fc12e2,Rawalpindi,Full-time,,No experience required,No specific education required,"Job Description:
Join our team as a Data Entry Specialist and play a vital role in maintaining accurate and up-to-date information. Your primary responsibility will be to input, update, and manage data within our systems efficiently and accurately. Attention to detail is crucial as you'll be responsible for ensuring the integrity of our databases. Additionally, you may be tasked with verifying data accuracy, conducting quality checks, and assisting in data analysis projects as needed.
Responsibilities:
Input, update, and manage data within our systems accurately and efficiently.
Conduct regular quality checks to ensure data integrity and accuracy.
Assist in verifying data from various sources and resolving discrepancies.
Collaborate with team members to identify opportunities for process improvements.
Adhere to data entry standards and guidelines to maintain consistency across databases.
Support data analysis projects by gathering and organizing data as required.
Requirements:
Proven experience in data entry or related field.
Proficiency in data entry software and Microsoft Office Suite.
Strong attention to detail and accuracy.
Excellent organizational and time management skills.
Ability to work independently and collaboratively in a fast-paced environment.
Strong written and verbal communication skills.
Familiarity with data analysis tools and techniques is a plus.
Preferred Qualifications:
Bachelor's degree in a related field or equivalent work experience.
Previous experience in data analysis or database management.
Knowledge of industry-specific data entry standards and regulations.
Experience with CRM systems or other database software.
fresh to 6 months
We Offer:
Job Type: Full-time
Market Competitive Salary
Performance Bonus
Increments
Learning Environment
CC Fund
Meal
Health Insurance + Life Insurance
Fuel Allowance
For More Details, Contact Us:
03115333221/0334-5522981
Job Type: Full-time
Ability to commute/relocate:
Islamabad: Reliably commute or planning to relocate before starting work (Required)
Job Type: Full-time
Pay: Rs25,000.00 - Rs40,000.00 per month"
Posted 1 day ago,Experienced Executive Assistant - Psychiatrist (Remote),https://pk.indeed.com/cmp/Canadatel.net?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116hjqjkme800&fromjk=0e4833a83fe5c10f,Lahore,"Rs 100,000 a month",,No experience required,No specific education required,"Job Responsibilities:
Supporting all updates for regulatory processing, including onboarding of employee documentation.
Organising and maintaining files, records, and documents.Handling incoming and outgoing correspondence, including calls, email, SMS, and social media messages.
Screening and directing phone calls, emails, and messages.
Ensuring timely response to inquiries and requests.
Drafting and editing correspondence, memos, and reports.
Coordinating communication between the client and internal/external stakeholders.
Arranging and coordinating travel itineraries, including flights, accommodations, and transportation.
Managing the client's multiple business and personal calendars.
Creating one calendar for one view.Scheduling appointments, meetings, and events, coordinating employees to meet schedules.
Coordinating logistics for meetings, Sending reminders and ensuring punctuality.
Demonstrating proficiency in various computer software programs essential for executive assistance, including Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) and Google Workspace.
Data entry and basic financial management tasks.
Familiarity with QuickBooks a plus.Conducting research and gathering information as needed.
Providing support with marketing activities, if applicable.Expense managementTrack employee work schedules, ensure all employee training is scheduled.
Ordering supplies, and products; coordination with vendors.
Requirement:
Excellent written and verbal communication skills in English.
Strong organisational and multitasking abilities.
Proficiency in computer software and technology relevant to executive assistance.
Prior experience in a similar role preferred.
Ability to maintain confidentiality and exercise discretion.
Flexibility and adaptability to changing priorities and environments.
Knowledge of QuickBooks and marketing principles is an added advantage.
Job Type: Full-time
Pay: Up to Rs100,000.00 per month
Application Question(s):
Willing to work Eastern Time Zone
Education:
Bachelor's (Required)
Experience:
Executive Assistant: 2 years (Required)
Marketing and Sales in US: 2 years (Required)
Language:
English (Required)"
Active 2 days ago,Required Admin/supervisor Females Staff,https://pk.indeed.com/cmp/Nadeem-Enterprises?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116nosjkbc801&fromjk=a84bf2e11eab6b40,Rawalpindi,"Rs 48,000 a month",,No experience required,No specific education required,"Administrative supervisors are in charge of managing the day-to-day operations of their organization’s administrative support staff. They commonly oversee a team of clerical workers, data entry clerks, receptionists, and other administrative professionals who provide general support to the company’s employees. Administrative supervisors may also be responsible for overseeing other types of staff as well, such as salespeople or customer service representatives. In either case, they are tasked with ensuring that all of these individuals are performing their jobs effectively and working together as a cohesive unit.
Job Types: Full-time, Part-time, Fresher
Pay: Up to Rs48,000.00 per month"
