Posted At,Job Title,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 4 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Epazz-Inc?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0kp75mjk9m800&fromjk=cb9f9ead2f2fa2ec,Lahore,Full-time,,No experience required,No specific education required,"We are looking for experienced Python/AI developers with excellent skill sets who can join our company and produce world-class applications.
Expertise in Django Framework (Python Web), Python, Google Maps Api, Linux, HTML5, CSS, JavaScript, JSON, JQuery, .Net Framework, C#, Web Services
Expertise in object-oriented and data structure
Expertise in SQL Server and database design
Investigates new technologies and techniques and researches ongoing industry developments
Designing, coding, testing, documenting, and deploying global applications based on system and user requirements
Expert knowledge in analyzing, designing, and developing solutions to highly complex problems
Experience in a microservices architecture
Knowledge of using Amazon RDS, S3, CodeCommit
Excellent English communication skills
Responsibilities and Duties
Software development by following requirements specifications
Enhance existing systems by analyzing business objectives, preparing an action plan and identifying areas for modification and improvement
Manage defect tracking system and resolve all issues and prepare updates for systems.
Investigate and develop skills in new technologies
Create technical specifications
Job Type: Full-time"
Active 2 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Mavenup-Creatives-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0kpbh22ek304m&fromjk=90006468268ab6c4,Lahore Bahria Town,Full-time,,No experience required,No specific education required,"Job Description:
We are looking for a passionate Python developer to join our team at Mavenup Creatives.
You will be responsible for developing and implementing high-quality software solutions, creating complex applications using cutting-edge programming features and frameworks and collaborating with other teams in the firm to define, design, and ship new features.
As an active part of our company, you will brainstorm and chalk out solutions to suit our requirements and meet our business goals. You will also be working on data engineering problems and building data pipelines. You would get ample opportunities to work on challenging and innovative projects, using the latest technologies and tools.
Objectives of this role
Develop, test and maintain high-quality software using Python programming language.
Participate in the entire software development lifecycle, building, testing, and delivering high-quality solutions.
Collaborate with cross-functional teams to identify and solve complex problems.
Write clean and reusable code that can be easily maintained and scaled.
Your tasks
Create large-scale data processing pipelines to help developers build and train novel machine learning algorithms.
Participate in code reviews, ensure code quality and identify areas for improvement to implement practical solutions.
Debugging codes when required and troubleshooting any Python-related queries.
Keep up to date with emerging trends and technologies in Python development.
Required skills and qualifications
2 years of experience as a Python Developer with a strong portfolio of projects.
Bachelor's degree in Computer Science, Software Engineering or a related field.
In-depth understanding of the Python software development stacks, ecosystems, frameworks and tools such as Numpy, Scipy, Pandas, Dask, spaCy, NLTK, sci-kit-learn, and PyTorch.
Experience with front-end development using HTML, CSS, and JavaScript.
Familiarity with database technologies such as SQL and NoSQL.
Excellent problem-solving ability with solid communication and collaboration skills.
Preferred skills and qualifications
Experience with popular Python frameworks such as Django, Flask or Pyramid.
Knowledge of data science and machine learning concepts and tools.
A working understanding of cloud platforms such as AWS, Google Cloud, or Azure.
Contributions to open-source Python projects or active involvement in the Python community.
Job Type: Full-time"
Active 2 days ago,"Backend Python Developer
- job post",https://pk.indeed.com/cmp/Vacon.ai?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0kpfqm2fe7004&fromjk=02390b9d600bba06,Lahore,Full-time,,No experience required,No specific education required,"Role Responsibilities
Design, develop, and maintain robust software applications using Python, ensuring high performance and responsiveness to requests from the front end.
Work closely with cross-functional teams to define, design, and ship new features, contributing to all phases of the development lifecycle.
Troubleshoot and resolve bugs/flaws in applications to ensure optimal functionality and user experience.
Continuously discover, evaluate, and integrate new technologies and frameworks to maximize development efficiency and stay ahead of the curve.
Leverage experience with databases like PostgreSQL and third-party APIs. Implement asynchronous programming models to improve application scalability and performance.
Qualifications:
3-5 years of experience as a backend engineer, with a strong focus on Python and its popular frameworks (FastAPI, asyncio, etc.).
Proficient in working with databases (e.g PostgreSQL) and familiar with API development.
A background in AI/ML and experience in hugging face would be a huge plus.
Experience working with consumer-facing applications is highly desirable
Exceptional problem-solving skills and the ability to think algorithmically.
Proven track record of working on numerous backend projects, preferably with experience involving US/UK clients. Fluent in English, with excellent communication skills to effectively collaborate with team members and clients.
Bachelor's degree in Computer Science, Engineering, or a related field, or equivalent knowledge acquired through self-study.
Job Type: Full-time
Application Question(s):
Are you comfortable with onsite job?
Expected Salary?
How many years of experience do you have in Python?
How many years of experience do you have in SQL?
What will be your expected joining date?"
Active 2 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Trimulabs?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0kpk31jkbc800&fromjk=e43e8fb5ca6d6708,Lahore,Full-time,"Rs 120,000 a month",Entry level,No specific education required,"We are looking for a skilled Python developer with 1.5 - 2 years of experience to join our team at CODING CRAFTS.
You will be responsible for developing and implementing high-quality software solutions, focusing on Python integrations, server-side code, core Python scripting, and working with vectors/vector databases. You will collaborate with other teams in the firm to define, design, and ship new features.
Objectives of this role:
Develop, test, and maintain high-quality software using Python programming language.
Participate in the entire software development lifecycle, building, testing, and delivering high-quality solutions.
Collaborate with cross-functional teams to identify and solve complex problems.
Having experience in 3rd-party integrations
Your tasks:
Create integrations with external systems and APIs using Python.
Develop server-side code and scripts to support application functionality.
Work with vectors/vector databases for data processing and analysis.
Required skills and qualifications:
1.5-2 years of experience as a Python Developer with a strong portfolio of projects.
Bachelor's degree in Computer Science, Software Engineering, or a related field.
In-depth understanding of Python software development stacks, ecosystems, frameworks, and tools.
Familiarity with database technologies such as SQL and NoSQL (AstraDB etc)
Preferred skills and qualifications:
Knowledge of data science and machine learning concepts and tools.
A working understanding of cloud platforms such as AWS, Google Cloud, or Azure.
Contributions to open-source Python projects or active involvement in the Python community.
What you will get;
Market competitive salary
Excellent career growth
Medical coverage
Fuel Allowance
Gym Allowance
Semi-Annual performance based increments
Annual Bonus
Annual paid leaves
Rich and empathetic culture
Fun-filled office working environment not to mention Xbox, table tennis, snacks, fruits, and much more.
If you meet these requirements and are looking for an exciting opportunity to grow your career as a Python developer, we encourage you to apply for this role.
Job Type: Full-time
Pay: From Rs120,000.00 per month
Ability to commute/relocate:
Lahore: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
Experience:
python: 1 year (Required)"
Posted 30+ days ago,"Django / Python Developer
- job post",https://pk.indeed.com/cmp/Xprolabs?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0kpo9lk98u800&fromjk=1078962d8a9bb4cd,Lahore,,,Entry level,No specific education required,"Company Description

Established in 2019, XPROLABS stands as a vibrant technology, consultancy, and services firm, uniquely committed to steering organizations through groundbreaking business and technology solutions. Our roots go beyond the conventional — we are a group of seasoned entrepreneurs on a collective mission to make a positive impact on millions of lives.

At XPROLABS, we cultivate an environment where individuals don't just work; they thrive, learn, and contribute to the shared success of our journey. Join us in a space where personal growth intertwines with the satisfaction of shared accomplishments.

Job Description

Responsibilities:
Develop and maintain web applications using Django and Python
Collaborate with cross-functional teams to design and implement new features
Troubleshoot and debug issues to ensure optimal performance and reliability
Solid understanding of Django framework and Python programming language

Qualifications

Requirements:
Experience 6 months to 1 year
Solid understanding of Django framework and Python programming language
Experience with front-end technologies such as HTML, CSS, and JavaScript is a plus
Degree in Computer Science, Software Engineering, or related field

Additional Information

If you are passionate about the software industry, possess strong business acumen, and thrive in a dynamic and fast-paced environment, we would love to hear from you."
Active 2 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Onism-Solution-Llc.?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0kq1mqj9ji809&fromjk=f9568c5cd515c2f1,Lahore,,,No experience required,Master’s Degree,"Job Description:
We are seeking a highly skilled and experienced Senior Python Developer to join our dynamic team. The ideal candidate will have a deep understanding of AWS Lambda, extensive experience with MySQL and Artificial intelligent. This role involves a significant amount of database work, requiring proficiency in designing, developing, and optimizing complex database systems.
Key Responsibilities:
Development and Deployment of AWS Lambdas: Design, develop, and deploy serverless functions using AWS Lambda in a scalable and efficient manner. Ensure seamless integration of these functions with various AWS services and external systems.
Python Scripting: Write robust and efficient Python scripts for data processing, automation, and integration tasks. Implement best practices in coding and script optimization.
Database Management and Optimization: Manage and optimize MySQL databases for high performance and scalability. Design database schemas, write complex SQL queries, and perform data migration and transformation tasks.
System Integration and API Development: Develop APIs for application integration and data exchange. Ensure reliable integration between AWS services, Lambda functions, and MySQL databases.
Performance Tuning and Monitoring: Monitor and tune system performance, ensuring optimal efficiency and reliability. Utilize AWS monitoring tools to track the performance of Lambda functions and database systems.
Technical Problem Solving: Troubleshoot and resolve complex technical issues related to Python scripts, AWS Lambda, and MySQL databases. Provide innovative solutions to enhance system performance and reliability.
Collaboration and Communication: Work closely with cross-functional teams to understand requirements and provide technical expertise. Document code and system architecture clearly for easy maintenance and future enhancements.
Qualifications:
Bachelor’s or Master’s degree in Computer Science, Information Technology, or a related field.
At least 2-3 years of experience in Python development, with a focus on writing high-quality, maintainable code.
Excellent problem-solving skills and the ability to work in a fast-paced, dynamic environment.
Strong communication and teamwork skills.
Job Type: Full-time
Pay: From Rs100,000.00 per month
Ability to Commute:
Lahore (Required)"
Active 3 days ago,,https://pk.indeed.com/cmp/Ptr-1b0f12a1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0kq9mgjkmk803&fromjk=1f6c1bca0109a49e,Islamabad,,,No experience required,No specific education required,"About the job
PTR Inc. (PTR) is a United States/Germany-based bespoke market research company with a focus on power grid and new energy market research. We are a very lean and fast-moving B2B company, investing and/or pivoting to capture the most market demand possible. Our development team is looking for a Python developer. The position offers high independence and freedom to implement your ideas while working with a highly ambitious team.
As a Python developer at PTR, you will be an integral part of our development team, responsible for crafting high-quality and scalable web applications. The ideal candidate will have 2 to 3 years of hands-on experience in Python, with a focus on Django, JavaScript, web scraping, HTML, and CSS.
Key Responsibilities:
Web application development:
Collaborate with the development team to design, develop, and maintain web applications using Python and the Django framework.
Implement responsive and user-friendly interfaces with HTML, CSS, and JavaScript,Web Scraping.
Develop and implement web scraping solutions to gather and analyze data from various sources.
Optimize and maintain existing web scraping scripts to ensure reliability and efficiency.
Front-end Development:
Work on the client side of our applications, ensuring seamless user experiences through effective implementation of JavaScript, HTML, and CSS.
Qualifications:
Bachelor's degree in Computer Science, Information Technology, or a related field.
1 to 2 years of professional experience in Python development.
Proficiency with Django for web application development.
Experience in front-end technologies, including JavaScript, HTML, and CSS.
Familiarity with web scraping techniques and tools.
Strong problem-solving skills and attention to detail. Additional Skills (Preferred)
Experience with version control systems (e.g., Git).
Knowledge of RESTful APIs.
Familiarity with cloud platforms (e.g., AWS, Azure).
Understanding of Agile/Scrum development methodologies.
Your benefits:
Time when you need it – remote job with flexible hours.
Working with some of the largest companies in the energy transition space (spread over 20 countries).
Steep learning curve in a fast-moving company, competing internationally.
Working with a young, international and highly motivated team across three continents.
Complete ownership of the work in a high impact role.
And of course, market competitive compensation (salary, provident fund, health insurance, trainings, vacation).
Job Type: Full-time
Application Question(s):
How many months of experience in Django
Education:
Bachelor's (Required)"
Posted 1 day ago,,,,,,,,
Posted 2 days ago,,,,,,,,
Active 2 days ago,"Senior Python Developer
- job post",https://pk.indeed.com/cmp/Al-Rafay-Consulting?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0m402kjl0m80h&fromjk=473d60d5b8780d0b,Karachi,Full-time,,No experience required,No specific education required,"Job Title: Senior Python Developer
Job Overview: ARC is looking to add an experienced, motivated, professional, and personable Senior Python Developer in our growing team. This position is for the Karachi Office. Additional details are provided below:
Who are we?
Al Rafay Consulting, LLC is a global company with expertise in consulting and the development of innovative solutions through Microsoft products. Our innovative services and solutions have helped REIT, Performing Arts & Student Living industries increase effectiveness through simplicity, innovation, and automation globally. With headquarter office in Chicago, US, ARC also has office locations in Karachi and Lahore Pakistan.
Our team consists of experienced professionals and young upcoming talent who all possess a strong passion for providing solutions that will leave an impact with the highest quality possible. Our team continues to grow while we do and will continue to provide services that will change businesses for the better. We have a diverse set of perspectives, skillsets, and insights to provide truly innovative solutions.
What would you do at ARC?
A typical day for you might include:
Spend a significant portion of the day writing high-quality Python code for various projects, adhering to best practices and coding standards.
Review code submitted by other team members and provide constructive feedback to ensure code quality and maintainability.
Collaborate with the development team and project stakeholders to design and architect scalable and efficient Python-based solutions. This involves brainstorming sessions, whiteboarding, and creating technical design documents.
Work on implementing new features and functionalities in existing Python applications or building new applications from scratch. This involves writing clean, efficient, and well-documented code while considering factors like performance, scalability, and security.
Write unit tests and integration tests to ensure the reliability and correctness of the codebase. Participate in code reviews and perform QA checks to identify and fix bugs or issues in the codebase.
Identify performance bottlenecks in Python applications and optimize code and algorithms for better performance and efficiency. This may involve profiling code, identifying areas for improvement, and implementing optimizations.
Communicate regularly with other team members, project managers, and stakeholders to provide updates on progress, discuss requirements, and coordinate efforts. Participate in meetings, stand-ups, and brainstorming sessions to foster collaboration and alignment across teams.
Stay updated on the latest trends, technologies, and best practices in Python development. Continuously improve skills through self-learning, training, and participation in workshops or conferences.
Document code, APIs, and technical processes to ensure clarity and maintainability of the codebase. Write technical documentation, including design documents, user guides, and API documentation, to facilitate knowledge sharing and onboarding of new team members.
Provide guidance and mentorship to junior developers, helping them grow their skills and become more proficient in Python development. Offer support and assistance to team members facing technical challenges or issues.
Tackle complex technical challenges and troubleshoot issues in Python applications. Analyze root causes of problems and implement effective solutions to ensure the stability and reliability of the software.
What is it like to work in ARC?
You'd work alongside a team of smart, passionate, and experienced people working on challenging problems. Our team consists of diverse set of skills and technical expertise. Most importantly, we're supportive of one another; we work as a team to enable each other to launch best projects and products.
Best work can mean a lot of things. We care about testing, and apply that through a mix of unit, integration, and acceptance tests. That diligence allows us to ship early and often through an automated continuous integration and delivery process.
We give our team members the time and space to learn and apply these and other tools correctly. We share our knowledge with each other on a regular basis through pairing, PR reviews, and team talks.
What are we looking for in a candidate?
You have a well-founded expertise in Python.
We won't limit to ‘x’ years’ experience, what we're looking for an individuals who can demonstrate exceptional Python development skills, a profound understanding of best practices in software design, and a mastery of core programming concepts. We're excited to introduce you to our tech stack as long as you bring a solid foundation in Python development to the table.
You know how to build things from start to finish. You can identify a need, understand its impact, and seek out and work with others to deliver a well-crafted solution in a team environment—asking for help when needed.
You have good communication skills. As a distributed team, it’s important that we're able to understand each other, verbally and in writing, connecting at the appropriate level of abstraction. You communicate clearly and with empathy, whether you’re discussing refactoring options with team members and stakeholders.
You are eager to collaborate, learn and teach. Our Engineering team is friendly and supportive of each other, and we look for opportunities to learn from each other’s experience.
Technical Skills
Extensive experience in Python development, with a deep understanding of the language's syntax, libraries, and ecosystem. You should be able to write clean, efficient, and maintainable code.
Strong knowledge of web frameworks such as Django or Flask for building robust web applications in Python. Experience in developing RESTful APIs and integrating them with frontend technologies.
Proficiency in working with relational databases like PostgreSQL, MySQL, or SQLite, as well as NoSQL databases like MongoDB or Redis. You should be comfortable with designing database schemas, writing complex queries, and optimizing database performance.
Familiarity with version control systems like Git for managing code repositories, branching, merging, and collaboration with team members.
Experience in writing unit tests and integration tests using frameworks like pytest or unittest. Proficiency in debugging and troubleshooting issues in Python applications using debugging tools and techniques.
Knowledge of deployment tools like Docker and container orchestration platforms like Kubernetes for containerizing and deploying Python applications. Understanding of CI/CD pipelines and automation tools like Jenkins or GitLab CI for continuous integration and deployment.
Awareness of security best practices for web development, including securing APIs, handling authentication and authorization, and protecting against common security vulnerabilities like SQL injection and cross-site scripting (XSS).
Experience in data processing and analysis using libraries like NumPy, pandas, or scikit-learn for scientific computing, data manipulation, and machine learning tasks.
Strong documentation skills to create clear and comprehensive technical documentation, including code comments, README files, and API documentation. Effective communication skills to collaborate with team members, stakeholders, and clients.
Excellent problem-solving abilities to tackle complex technical challenges and troubleshoot issues in Python applications. A proactive approach to identifying potential issues and proposing innovative solutions.
Qualifications
3+ years of hands-on experience in Python development, with a proven track record of building robust and scalable applications.
While not mandatory, certifications such as Python Institute PCAP (Python Certified Associate Programmer) or PCEP (Python Certified Entry-Level Programmer) can demonstrate your proficiency in Python programming.
A bachelor's degree in computer science, software engineering, or a related field is preferred, although equivalent experience or certifications can also be considered.
Familiarity with project management methodologies like Agile or Scrum, as well as tools such as Jira or Trello, can be advantageous for effective collaboration and project planning within development teams.
Demonstrated commitment to continuous learning and staying updated with the latest developments in Python programming and related technologies.
Strong analytical and problem-solving abilities to tackle complex technical challenges and troubleshoot issues in Python applications effectively.
Excellent communication skills to collaborate with cross-functional teams, articulate technical concepts to non-technical stakeholders, and contribute to a positive team environment.
Why should I choose ARC?
We offer everything you'd expect from a successful service company, with the stability of a company that's been going strong for over 10 years.
International Exposure – get to work with global clients to gain modern world experience
Competitive number of paid vacations – get an adequate pool of paid vacations to get some time off from daily work routine
Family-friendly. Flexible schedules along with supportive parental leave policies.
Trainings & Microsoft Certifications – based on your skills set you will be offered to get Microsoft certifications & trainings to enhance your technical skills
Healthy-friendly culture. You'll join a completely distributed engineering team and will benefit from the first-class remote experience we've created—giving you the flexibility to work where you want, with all the tools and resources you need to succeed.
The best tools and technology money can buy. Top of the line hardware, software, and whatever else you need to be awesome.
Self-improvement budget You’ll have budget to pursue courses and buy books to improve your self
Salary and compensation
· Competitive
Location
· Karachi Office
Job Type: Full-time
Application Question(s):
We must fill this position urgently. Can you start immediately?
Current Salary?
Desired Salary?
Education:
Bachelor's (Required)
Experience:
Python Development: 3 years (Required)"
